latitude,longitude,brightness,acq_date,acq_time
-32.095,121.608,361.2,21/12/2019,530
-17.771,143.877,309.8,11/01/2020,1340
-16.319,126.578,343,19/11/2019,535
-34.878,138.819,314.5,20/12/2019,1550
-33.265,150.154,316.6,19/12/2019,1505
-35.363,147.88,423.8,30/12/2019,345
-21.66,116.853,417.2,17/11/2019,545
-34.157,116.016,317.8,7/11/2019,645
-13.994,130.882,342.6,22/10/2019,510
-28.198,129.706,360.8,2/01/2020,555
-14.143,131.057,362,17/10/2019,450
-36.991,147.432,402.9,4/01/2020,400
-33.371,150.816,321.3,18/11/2019,1235
-16.131,137.136,312,4/12/2019,1545
-15.109,127.455,337.5,17/11/2019,1335
-32.719,150.844,357.5,28/12/2019,355
-34.279,150.155,385.4,21/12/2019,350
-20.209,139.667,349,25/11/2019,455
-14.911,131.391,343.6,20/11/2019,440
-32.962,150.205,337.2,20/12/2019,30
-14.178,133.518,343.6,12/10/2019,145
-12.889,143.503,310.2,23/11/2019,1600
-15.746,144.097,305.8,21/11/2019,1310
-30.459,152.527,314.8,4/12/2019,1235
-32.963,150.455,333.1,21/11/2019,340
-31.54,151.668,339.6,21/12/2019,350
-30.052,152.847,384.4,8/11/2019,1510
-29.01,152.928,392.6,8/10/2019,2340
-14.07,135.087,306.5,5/12/2019,1320
-12.602,135.063,333.2,17/12/2019,130
-30.718,123.491,350,22/12/2019,615
-35.556,149.917,350.6,29/12/2019,2330
-22.115,131.911,342.4,30/11/2019,515
-30.767,151.869,328.2,4/12/2019,2335
-30.759,152.142,312.5,4/11/2019,1220
-29.009,128.22,344.7,1/01/2020,510
-16.537,124.548,306.6,20/11/2019,1710
-29.695,151.915,300.2,29/10/2019,1300
-15.317,143.849,301.9,16/11/2019,1555
-16.798,123.847,330.5,16/12/2019,230
-17.286,143.515,333.9,10/10/2019,20
-28.826,152.339,330.6,18/12/2019,320
-36.635,149.636,319.4,30/12/2019,1445
-20.736,139.479,314.4,26/12/2019,1340
-31.62,152.079,370.2,30/12/2019,345
-12.674,142.237,328.6,13/10/2019,50
-17.761,122.812,349.8,18/10/2019,535
-37.096,147.307,363.6,3/01/2020,2345
-30.819,152.342,307.9,8/11/2019,1510
-29.279,152.26,314.9,4/12/2019,1545
-29.315,128.203,356.5,19/12/2019,545
-14.124,131.326,337,1/10/2019,450
-33.132,123.331,345,19/12/2019,540
-37.67,148.798,311,2/01/2020,1520
-33.159,150.058,311.7,3/01/2020,1245
-31.386,123.913,359.3,30/10/2019,555
-18.403,145.297,300.8,29/12/2019,1535
-15.035,144.921,303.4,25/12/2019,1255
-13.363,135.755,360.9,8/12/2019,140
-37.424,147.749,306.7,29/12/2019,1225
-13.366,135.354,338.8,24/12/2019,425
-17.969,145.015,340.6,17/12/2019,420
-28.027,147.3,338,23/10/2019,410
-15.634,130.74,309.2,3/12/2019,1640
-33.971,150.378,313.6,2/12/2019,1600
-24.82,147.741,328.8,27/12/2019,35
-23.679,128.521,348.5,28/12/2019,115
-37.616,148.678,317.3,2/01/2020,1520
-32.922,150.691,307.9,4/12/2019,1235
-30.016,152.152,334.6,2/12/2019,2345
-13.725,131.39,338.5,18/12/2019,505
-29.933,152.199,361,6/12/2019,15
-37.197,148.363,343.9,30/12/2019,1310
-31.764,152.337,314.4,9/11/2019,1240
-17.381,142.986,331.2,19/12/2019,120
-16.313,143.225,340,14/12/2019,100
-14.456,127.564,328.7,13/12/2019,445
-33.321,150.414,305.7,3/12/2019,1505
-31.198,152.486,322.1,5/12/2019,350
-32.81,150.276,304.4,17/12/2019,1515
-31.234,152.764,322.9,7/11/2019,1250
-30.439,152.486,301.8,29/11/2019,1215
-30.81,152.344,315.4,8/11/2019,1510
-31.515,152.314,325.4,2/12/2019,2345
-12.733,136.097,330.4,24/10/2019,500
-25.445,149.186,349.2,6/01/2020,355
-27.371,150.88,307.9,15/12/2019,1525
-32.984,123.604,331.7,4/12/2019,1725
-14.223,133.36,333.1,7/10/2019,125
-25.412,149.222,330.3,3/01/2020,40
-13.168,134.54,343.7,23/10/2019,125
-31.396,151.379,315.2,18/12/2019,1245
-37.36,148.611,406.3,30/12/2019,1310
-37.579,147.618,311.2,24/12/2019,5
-31.499,151.884,370.9,22/11/2019,5
-37.566,147.558,320.1,3/01/2020,1245
-41.596,147.822,326,3/01/2020,455
-32.026,121.363,334.6,22/12/2019,155
-29.931,152.695,317.4,8/11/2019,1510
-15.954,126.547,335.8,14/10/2019,600
-28.755,128.834,369.4,2/01/2020,555
-33.059,150.388,332.3,28/10/2019,425
-11.884,142.211,332.6,3/10/2019,440
-27.414,150.894,380.8,16/12/2019,335
-31.534,151.662,331.4,19/12/2019,405
-31.442,151.793,340.7,4/01/2020,405
-17.428,123.854,366.4,19/11/2019,535
-13.125,133.676,300.5,14/12/2019,1315
-15.469,125.585,304.7,9/11/2019,1725
-32.993,150.535,345.6,18/11/2019,2335
-31.51,152.347,317.8,21/11/2019,340
-11.629,132.874,338.9,15/10/2019,505
-30.798,119.944,466.9,19/12/2019,545
-15.441,143.389,308.6,11/12/2019,1245
-32.151,151.342,333.3,29/12/2019,2330
-30.148,150.306,319.7,15/12/2019,1215
-13.88,130.839,329.7,25/11/2019,500
-31.228,123.665,328.9,13/11/2019,605
-16.016,124.847,337.2,4/11/2019,1710
-15.534,141.784,306,30/11/2019,1605
-14.4,131.994,323.7,21/10/2019,1655
-31.487,151.268,317.3,4/01/2020,1505
-30.899,151.894,334.6,13/11/2019,1530
-31.872,121.551,322.4,1/01/2020,1435
-25.861,129.753,362.7,25/12/2019,505
-25.903,129.81,331,25/12/2019,45
-33.149,150.263,318.8,18/11/2019,310
-35.809,136.877,329.5,9/01/2020,5
-35.438,148.066,308.1,3/01/2020,1245
-21.185,120.69,330.8,13/12/2019,620
-33.211,150.977,321.5,25/12/2019,2350
-12.44,131.66,325.4,5/12/2019,105
-12.929,130.486,326.5,20/10/2019,525
-30.154,150.897,315.2,6/12/2019,1535
-30.82,122.929,332.8,27/11/2019,620
-31.371,151.234,310.2,21/12/2019,1450
-31.462,151.793,341.4,6/01/2020,350
-29.889,152.524,315,8/11/2019,1510
-31.872,121.486,317.4,7/01/2020,1715
-36.426,147.871,316.1,4/01/2020,1325
-30.816,151.923,301.2,17/11/2019,1330
-17.707,122.737,351.5,8/12/2019,605
-17.351,143.005,353.1,19/12/2019,405
-30.698,152.852,317.7,9/11/2019,35
-35.262,150.217,326.3,19/12/2019,1505
-32.334,150.151,338.1,1/12/2019,415
-19.659,144.989,341.3,28/12/2019,400
-33.029,123.583,331.4,4/12/2019,1410
-29.161,152.722,339.7,14/11/2019,335
-11.505,142.287,323.6,19/10/2019,440
-28.414,128.846,343.7,14/10/2019,135
-12.493,136.336,331.5,16/10/2019,410
-11.487,142.153,322.1,18/10/2019,105
-29.604,152.644,317.1,6/12/2019,1535
-37.45,148.301,357.2,30/12/2019,1310
-36.021,148.354,504.9,4/01/2020,400
-16.854,142.128,312.8,7/12/2019,1310
-34.303,150.563,331.1,20/12/2019,305
-30.08,152.729,317,8/11/2019,1155
-18.499,145.82,333.5,3/12/2019,405
-31.055,152.246,364.9,7/11/2019,2350
-14.457,142.085,327.5,7/12/2019,55
-31.641,152.055,321.6,5/12/2019,1450
-14.825,127.495,357.8,20/11/2019,1405
-33.185,150.079,347.1,31/12/2019,10
-34.08,150.374,343.8,3/12/2019,405
-16.383,136.16,329.4,15/12/2019,145
-29.241,152.766,416.5,26/11/2019,400
-35.896,147.545,307.1,31/12/2019,1215
-31.486,152.225,366.5,12/11/2019,345
-12.188,132.731,378.5,12/10/2019,145
-37.132,147.033,320.9,3/01/2020,2345
-32.545,150.218,333.8,3/01/2020,2345
-32.594,150.245,338.5,31/12/2019,10
-34.366,150.498,333.4,27/12/2019,315
-19.761,144.264,353.1,10/01/2020,1255
-31.366,151.728,309.1,21/12/2019,1315
-33.262,150.727,327.2,15/11/2019,0
-14.437,127.47,370.2,11/12/2019,500
-29.194,151.525,378.7,7/11/2019,1250
-33.083,149.844,359,17/12/2019,415
-32.332,121.279,351.1,28/12/2019,535
-32.128,151.349,339.9,28/12/2019,355
-15.554,129.699,347.1,8/10/2019,500
-32.893,150.165,339.9,19/12/2019,405
-29.057,152.96,317.9,8/10/2019,1240
-14.463,143.625,325.7,2/01/2020,420
-12.337,132.664,334.3,4/10/2019,525
-31.632,152.084,304.4,27/12/2019,1240
-31.47,123.715,300.1,14/11/2019,1610
-16.073,142.969,338.8,21/12/2019,355
-28.121,152.34,347.1,20/11/2019,15
-28.223,125.597,374.5,14/12/2019,525
-35.802,150.168,303.8,31/12/2019,1530
-37.468,147.612,303.5,8/12/2019,1525
-28.605,152.314,338.1,17/12/2019,415
-33.645,123.56,301.9,21/12/2019,1455
-29.977,152.2,306.7,6/12/2019,1220
-25.206,149.133,344.4,16/12/2019,2355
-29.317,152.818,354.5,5/12/2019,350
-29.065,128.325,338,30/12/2019,525
-23.125,150.642,354.6,9/11/2019,1240
-32.232,121.488,386,19/12/2019,540
-32.784,150.931,324.9,15/12/2019,10
-32.952,150.453,356.1,21/11/2019,340
-32.923,123.678,371,7/01/2020,615
-36.343,149.576,318.1,3/01/2020,40
-28.38,151.857,326.7,7/11/2019,325
-30.839,152.29,300.5,6/11/2019,1520
-27.981,152.398,311.4,8/11/2019,1510
-13.065,141.889,375.1,20/10/2019,345
-36.029,148.367,504.5,4/01/2020,400
-29.411,152.153,311,3/01/2020,1245
-20.202,127.814,312.6,8/12/2019,1700
-14.351,127.582,309.8,22/12/2019,1710
-31.61,151.756,307,5/12/2019,1450
-31.234,152.095,394.2,31/10/2019,320
-35.75,136.801,395.4,1/01/2020,55
-29.209,151.694,444.1,8/11/2019,410
-19.61,121.627,333.5,19/12/2019,545
-16.82,143.232,335.3,9/10/2019,115
-32.794,151.018,328.2,14/12/2019,345
-15.221,143.289,342.7,13/12/2019,445
-36.163,139.939,324.2,21/12/2019,115
-35.631,149.858,350.8,3/01/2020,1245
-29.036,152.861,329.7,8/10/2019,1240
-32.779,124.014,322,7/01/2020,1400
-32.739,150.28,318.1,14/12/2019,1445
-37.343,147.964,361.4,8/12/2019,420
-29.171,152.259,340.2,7/12/2019,340
-32.453,120.192,368.2,8/12/2019,600
-29.395,152.841,308,19/11/2019,1450
-32.753,151.055,317,29/12/2019,1225
-30.119,152.911,332.6,10/11/2019,400
